URL,Image,Price,Location,Type,Details
https://www.yad2.co.il/realestate/item/aepi6rnm?opened-from=feed&component-type=main_feed&spot=standard&location=1,https://img.yad2.co.il/Pic/202411/08/2_1/o/y2_1pa_010602_20241108120147.jpeg?w=3840&h=3840&c=9,N/A,N/A,N/A,N/A
https://www.yad2.co.il/realestate/item/q5lhk2md?opened-from=feed&component-type=main_feed&spot=standard&location=2,https://img.yad2.co.il/Pic/202405/20/2_1/o/y2_1pa_010191_20240520212946.jpeg?w=3840&h=3840&c=9,N/A,N/A,N/A,N/A
https://www.yad2.co.il/realestate/item/zekbyoiu?opened-from=feed&component-type=main_feed&spot=standard&location=3,https://img.yad2.co.il/Pic/202411/06/2_1/o/y2_1pa_010665_20241106222544.jpeg?w=3840&h=3840&c=9,N/A,N/A,N/A,N/A
https://www.yad2.co.il/realestate/item/mrrgwkga?opened-from=feed&component-type=main_feed&spot=standard&location=4,https://img.yad2.co.il/Pic/202411/06/2_1/o/y2_1pa_010201_20241106140935.jpeg?w=3840&h=3840&c=9,N/A,N/A,N/A,N/A
https://www.yad2.co.il/realestate/item/n9dmnf0y?opened-from=feed&component-type=main_feed&spot=standard&location=5,https://img.yad2.co.il/Pic/202411/04/2_1/o/y2_1pa_010152_20241104121249.jpeg?w=3840&h=3840&c=9,N/A,N/A,N/A,N/A
https://www.yad2.co.il/realestate/item/x9pi51cp?opened-from=feed&component-type=main_feed&spot=standard&location=6,https://img.yad2.co.il/Pic/202410/26/2_1/o/y2_1pa_010166_20241026195209.jpeg?w=3840&h=3840&c=9,N/A,N/A,N/A,N/A
https://www.yad2.co.il/realestate/item/qmdcu1ae?opened-from=feed&component-type=main_feed&spot=standard&location=7,https://img.yad2.co.il/Pic/202406/27/2_1/o/y2_1_05484_20240627104016.jpeg?w=3840&h=3840&c=9,N/A,N/A,N/A,N/A
https://www.yad2.co.il/realestate/item/8serajhf?opened-from=feed&component-type=main_feed&spot=standard&location=8,https://img.yad2.co.il/Pic/202410/29/2_1/o/y2_1pa_010328_20241029070443.jpeg?w=3840&h=3840&c=9,N/A,N/A,N/A,N/A
https://www.yad2.co.il/realestate/item/fg17b6ks?opened-from=feed&component-type=main_feed&spot=standard&location=9,https://img.yad2.co.il/Pic/202404/28/2_1/o/y2_1pa_010389_20240428230038.jpeg?w=3840&h=3840&c=9,N/A,N/A,N/A,N/A
https://www.yad2.co.il/realestate/item/rnza2al5?opened-from=feed&component-type=main_feed&spot=standard&location=10,https://img.yad2.co.il/Pic/202410/27/2_1/o/y2_1_06079_20241027130114.jpeg?w=3840&h=3840&c=9,N/A,N/A,N/A,N/A
